date,realized_var,vix_forecast,garch_forecast,intra_forecast,blair_forecast,regime_forecast
2021-01-11,2.073761058190617e-05,0.00011933434027947285,5.277060059519934e-05,4.6252077243958493e-05,6.600475903680067e-05,6.548867889300118e-05
2021-01-12,2.9433084506903192e-05,0.00010959182045114938,5.346115527167361e-05,2.073761058190617e-05,6.236265430104345e-05,5.980432911342325e-05
2021-01-13,2.16069350110642e-05,9.568498368021602e-05,4.9030178965383443e-05,2.9433084506903192e-05,5.357294973876792e-05,5.2548758607536664e-05
2021-01-14,2.3500675784156267e-05,0.00010838536046837955,4.589380072256756e-05,2.16069350110642e-05,5.6833641033601366e-05,5.997605415974289e-05
2021-01-15,3.88331232687627e-05,0.00012232916796898485,4.5008613614787366e-05,2.3500675784156267e-05,6.210156429356056e-05,6.770820784144529e-05
2021-01-19,1.463755166771017e-05,0.00010806167485557261,4.871422680209568e-05,3.88331232687627e-05,5.857538402629096e-05,5.916183114796989e-05
2021-01-20,4.6397569934615815e-05,8.781422527830743e-05,4.7653971029105863e-05,1.463755166771017e-05,4.936709104064615e-05,4.8478258408083755e-05
2021-01-21,6.533471614311277e-06,8.473123608812289e-05,5.1156675813946007e-05,4.6397569934615815e-05,5.0429379702337566e-05,4.5359934598942715e-05
2021-01-22,1.1723058266176524e-05,9.154858710295384e-05,4.721614249302625e-05,6.533471614311277e-06,5.067316770953251e-05,5.062755678503871e-05
2021-01-25,9.48221794217168e-05,0.00010707704949416436,4.532693092928076e-05,1.1723058266176524e-05,5.5942027441046635e-05,6.0530184480537805e-05
2021-01-26,1.294380499784623e-05,0.00010492801182840324,4.364095484947336e-05,9.48221794217168e-05,5.394132404835752e-05,6.010905039247683e-05
2021-01-27,0.0002742222551529,0.0003361871845419431,4.19446498035399e-05,1.294380499784623e-05,0.00014987802942138196,0.0001995197582940137
2021-01-28,0.0001400782615121,0.00020828903132629115,0.00011929710968604118,0.0002742222551529,0.00014806821118636804,9.237974112833899e-05
2021-01-29,0.0001820334922837,0.0002574856343051098,0.0001009589034506006,0.0001400782615121,0.00015680503366488158,0.00013170492071116932
2021-02-01,8.814440532629374e-05,0.00020852124948049684,0.00012835840930014363,0.0001820334922837,0.00015421253104780367,0.00017316302079121036
2021-02-02,6.500775754167893e-05,0.00013774549263792879,0.00011299981552183933,8.814440532629374e-05,0.00011392990321069845,0.0001270378787864091
2021-02-03,2.3345111679471607e-05,0.00010294732447956544,9.948248930449099e-05,6.500775754167893e-05,9.018554154570116e-05,0.00010086786727117065
2021-02-04,3.1043518595659363e-05,8.909162060112391e-05,8.29814033475358e-05,2.3345111679471607e-05,7.336037268176357e-05,8.375191330559453e-05
2021-02-05,9.209532414162406e-06,7.864081471326618e-05,7.473585919523476e-05,3.1043518595659363e-05,6.34670384673848e-05,7.337219236540293e-05
2021-02-08,1.2713985863559212e-05,8.276350633168824e-05,6.514654500279003e-05,9.209532414162406e-06,5.887861228273895e-05,3.8678844440433585e-05
2021-02-09,5.821246041938603e-06,8.719972926540565e-05,5.9392266739505236e-05,1.2713985863559212e-05,5.6965675729753044e-05,4.3685097561498843e-05
2021-02-10,5.11910288307237e-05,9.134966479555523e-05,5.340908002748234e-05,5.821246041938603e-06,5.477728034585877e-05,4.862534846648853e-05
2021-02-11,2.992758045403809e-05,8.26505284165225e-05,4.893476485605544e-05,5.11910288307237e-05,4.812828403033688e-05,4.491650769224047e-05
2021-02-12,2.319816360397315e-05,6.83343228364468e-05,4.567732573255985e-05,2.992758045403809e-05,3.989009943144934e-05,3.7277789967822794e-05
2021-02-16,1.6438442063336655e-05,8.495815773153594e-05,4.391335270627466e-05,2.319816360397315e-05,4.5818599416478646e-05,4.84300844793606e-05
2021-02-17,2.5880074607321134e-05,8.533679353727757e-05,4.187522480336717e-05,1.6438442063336655e-05,4.464359923836957e-05,4.941762921488955e-05
2021-02-18,3.231761403293478e-05,9.704137170461179e-05,4.0353364009863665e-05,2.5880074607321134e-05,4.862818326099955e-05,5.7225016488561386e-05
2021-02-19,1.7573596333289948e-05,9.167991720211039e-05,4.149396729326163e-05,3.231761403293478e-05,4.710720024913458e-05,5.325493065857379e-05
2021-02-22,1.8979675056303028e-05,0.00010879734849090591,4.043098804440242e-05,1.7573596333289948e-05,5.3700117262355625e-05,6.431337212426588e-05
2021-02-23,0.0001987447300777,0.00010441224704794562,4.621983576940845e-05,1.8979675056303028e-05,5.5672054193615244e-05,5.8915921463115244e-05
2021-02-24,0.000113407673022,8.323279998331594e-05,4.389756628724359e-05,0.0001987447300777,4.517225019652388e-05,4.7261428041477216e-05
2021-02-25,0.0002967200803789,0.00018575532633640482,4.6688918690925746e-05,0.000113407673022,9.071017700058673e-05,0.00011103391211932964
